Country,Year,Arrivals,,,,,,,,,,,,,,,,
Singapore,2025,4401890,,,,,,,,,,,,,,,,
Singapore,2024,9099727,,,,,,,,,,,,,,,,
Singapore,2023,8308230,,,,,,,,,,,,,,,,
Singapore,2022,5222991,,,,,Singapore,"4,401,890","9,099,727","8,308,230","5,222,991","16,308","1,545,255","10,163,882","10,615,986","12,441,713","13,272,961","12,930,754"
Singapore,2021,16308,,,,, Indonesia,"1,933,010","3,651,668","3,108,165","1,481,739","11,025","711,723","3,623,277","3,277,689","2,796,570","3,049,964","2,788,033"
Singapore,2020,1545255,,,,, China,"1,852,505","3,287,362","1,474,114","211,363","7,701","405,149","3,114,257","2,944,133","2,281,666","2,124,942","1,677,163"
Singapore,2019,10163882,,,,, Thailand,"875,190","1,639,211","1,551,282","715,528","59,607","394,413","1,884,306","1,914,692","1,836,522","1,780,800","1,343,569"
Singapore,2018,10615986,,,,, India,"638,456","1,133,331","671,846","324,548","3,916","155,883","735,309","600,311","552,739","638,578","722,141"
Singapore,2017,12441713,,,,, Brunei,"490,197","1,142,134","811,833","301,757",773,"136,020","1,216,123","1,382,031","1,660,506","1,391,016","1,133,555"
Singapore,2016,13272961,,,,, South Korea,"230,503","475,815","400,853","146,384","3,028","119,750","673,065","616,783","484,528","444,439","421,161"
Singapore,2015,12930754,,,,, Philippines,"196,921","400,912","339,282","159,442","2,317","66,051","421,908","396,062","370,559","417,446","554,917"
Indonesia,2025,1933010,,,,, Taiwan,"196,724","385,415","283,380","48,132",563,"60,090","382,916","383,922","332,927","300,861","283,224"
Indonesia,2024,3651668,,,,, Australia,"196,458","382,628","343,438","152,265","1,321","72,680","368,271","351,500","351,232","377,727","486,948"
Indonesia,2023,3108165,,,,, United Kingdom,"188,542","345,438","272,297","134,667","2,676","63,868","346,485","361,335","358,818","400,269","401,019"
Indonesia,2022,1481739,,,,, Japan,"154,002","307,883","229,892","83,309","3,114","74,383","424,694","394,540","392,777","413,768","483,569"
Indonesia,2021,11025,,,,, Vietnam,"146,139","330,189","344,361","173,763",583,"64,184","400,346","375,578","248,927","216,877","229,926"
Indonesia,2020,711723,,,,, United States,"144,979","271,809","229,476","108,141","2,030","48,810","269,928","253,384","198,203","217,075","237,768"
Indonesia,2019,3623277,,,,, Bangladesh,"135,310","143,919","142,748","59,033","1,509","17,634","179,000","150,053","111,836","114,607","147,152"
Indonesia,2018,3277689,,,,, France,"93,676","160,637","115,145","55,087",843,"28,237","141,661","139,408","131,668","134,257","151,474"
Indonesia,2017,2796570,,,,, Germany,"89,890","155,848","125,987","57,780",824,"27,458","130,221","128,895","109,816","130,276","144,910"
Indonesia,2016,3049964,,,,, Myanmar,"75,219","114,551","86,298","36,765",377,"9,745","46,257","38,513","42,314","49,175","66,553"
Indonesia,2015,2788033,,,,, Russia,"68,118","112,806","109,689","33,003",399,"28,694","79,984","72,785","67,564","50,893","55,263"
China,2025,1852505,,,,, Pakistan,"61,015","102,570","107,657","60,535","2,043","17,777","105,757","74,458","53,453","58,388","69,112"
China,2024,3287362,,,,, Canada,"49,006","86,882","71,981","30,656",471,"16,631","87,568","84,705","67,056","72,337","79,557"
China,2023,1474114,,,,, Netherlands,"37,932","82,964","68,448","31,070",466,"14,486","82,110","81,651","75,885","72,200","84,584"
China,2022,211363,,,,, Sri Lanka,"30,404","58,015","55,050","24,906",385,"8,142","26,058","28,376","43,738","33,340","51,337"
China,2021,7701,,,,, Italy,"28,915","69,781","48,440","18,866",300,"8,971","54,710","52,055","44,638","42,747","51,946"
China,2020,405149,,,,, Spain,"26,882","60,527","40,762","20,474",147,"6,367","43,616","42,267","35,149","28,018","36,692"
China,2019,3114257,,,,, Cambodia,"26,581","63,964","72,627","39,823",250,"16,548","97,097","90,113","42,004","61,844","75,059"
China,2018,2944133,,,,, Poland,"24,513","36,821","21,472","8,472",161,"7,539","27,033","24,364","20,067","19,768","19,920"
China,2017,2281666,,,,, New Zealand,"23,854","47,961","42,955","18,238",196,"8,794","50,140","50,698","55,923","53,352","60,846"
China,2016,2124942,,,,, Saudi Arabia,"22,929","62,764","51,375","35,980",687,"23,390","121,444","112,263","100,549","123,878","99,754"
China,2015,1677163,,,,, Kazakhstan,"17,935","30,730","8,298","2,836",141,"6,065","18,138","13,861","12,577","10,717","15,410"
Thailand,2025,875190,,,,, Turkey,"15,576","23,986","17,275","7,169",286,"3,152","15,290","15,406","14,594","13,029","15,395"
Thailand,2024,1639211,,,,,  Switzerland,"15,372","28,035","23,312","10,486",197,"5,263","25,659","25,680","20,775","26,628","28,141"
Thailand,2023,1551282,,,,, Sweden,"11,902","21,242","18,006","8,083",253,"9,292","29,592","32,665","34,304","32,861","35,586"
Thailand,2022,715528,,,,, Ireland,"11,858","21,170","18,127","8,739",137,"3,735","25,659","19,687","20,854","18,208","22,746"
Thailand,2021,59607,,,,, Laos,"11,581","18,886","16,781","7,010",425,"5,424","26,955","23,782","39,460","31,061","24,448"
Thailand,2020,394413,,,,, Belgium,"11,510","25,234","17,726","7,543",122,"3,734","22,082","20,624","17,327","14,283","18,789"
Thailand,2019,1884306,,,,, Egypt,"11,262","22,859","20,783","11,117",652,"6,204","29,831","27,909","23,760","30,231","25,637"
Thailand,2018,1914692,,,,, Iran,"10,982","24,710","19,908","7,570",314,"7,078","46,559","67,094","59,023","47,102","65,066"
Thailand,2017,1836522,,,,,   Nepal,"10,642","20,091","18,488","11,379",198,"5,067","20,437","19,914","20,553","60,476","93,159"
Thailand,2016,1780800,,,,, Denmark,"10,248","19,242","16,053","7,717",214,"6,061","22,314","23,566","23,219","21,612","24,113"
Thailand,2015,1343569,,,,, Iraq,"8,699","18,884","12,562","6,008",452,"3,628","21,421","22,291","18,555","22,533","20,098"
India,2025,638456,,,,, South Africa,"7,643","16,979","15,155","7,937",168,"3,876","22,674","21,977","21,560","20,053","20,625"
India,2024,1133331,,,,, Ukraine,"7,294","13,511","11,129","4,381",298,"6,326","16,019","14,529","13,068","12,971","10,672"
India,2023,671846,,,,, Norway,"6,801","13,250","9,981","4,960",136,"3,552","14,585","15,202","14,121","14,709","18,622"
India,2022,324548,,,,, United Arab Emirates,"2,832","6,836","7,877","3,230",86,679,"11,174","9,386","8,555","14,150","15,769"
India,2021,3916,,,,,,,,,,,,,,,,
India,2020,155883,,,,,,,,,,,,,,,,
India,2019,735309,,,,,,,,,,,,,,,,
India,2018,600311,,,,,,,,,,,,,,,,
India,2017,552739,,,,,,,,,,,,,,,,
India,2016,638578,,,,,,,,,,,,,,,,
